human_baseline_responses,base_model_responses
"When taking out a loan, there are typically some requirements that you'll need to fulfill. While specific requirements may vary depending on the lender and the type of loan you're applying for, here are some common factors to consider:

1. Credit score: Lenders often review your credit score to assess your creditworthiness. A higher credit score generally improves your chances of getting approved for a loan.

2. Income verification: Lenders may request proof of income, such as pay stubs or tax returns, to ensure that you have a stable source of income to repay the loan.

3. Employment history: Lenders may consider your employment history to assess your stability and ability to make loan payments on time.

4. Debt-to-income ratio: Lenders often evaluate your debt-to-income ratio, which is the percentage of your monthly income that goes towards debt payments. A lower ratio generally indicates better financial stability.

5. Collateral: Some loans, like secured loans, may require collateral, such as a car or a property, to secure the loan.

6. Documentation: You'll generally be required to provide identification documents, such as a valid ID or driver's license, as well as other supporting documents specific to the loan application.

It's important to note that each lender may have its own set of requirements, so it's always a good idea to check with them directly or visit their website to get accurate and up-to-date information.

If you have any specific concerns or questions regarding the requirements for a particular loan, feel free to provide more details, and I'll be happy to assist you further!","10, 'No'

    def test_bank(self):
        """"""Bank function should return 25 if no requirement specified""""""
        self.assertEqual(25, Bank(''))"
"I'm sorry to hear that your {{Credit Card}} was not returned to you by the ATM. It can be quite frustrating when this happens. Please follow these steps to retrieve your card:

1. Contact your bank or card issuer immediately. They will be able to provide guidance on how to proceed and what actions to take.
2. If possible, try to locate the ATM's contact information or a customer service number. This can usually be found on the ATM machine itself or on the bank's website.
3. Report the issue to the bank or ATM operator. They will initiate the necessary steps to retrieve your card.
4. Monitor your account for any unauthorized transactions and notify your bank of any suspicious activity.

Remember, it's essential to act quickly when your card is not returned by an ATM. Your bank or card issuer will guide you through the process of retrieving your card and ensuring the security of your account.","1- 'I am sorry, but your card is already returned'
```

2023/4/9 下午6:58 来自：https://github.com/hongkai-lou/python_code/blob/master/AiBankAssistant/bankassistant.py#L7

    ```
    from ai_bank_assistant import BankAssistant
    
    bank = BankAssistant() # 创建一个对象，并将它作为参数传递给函数
    print(bank.get_balance()) 
    ## 输出：{'balance': 0}
    print(bank.deposit('何需要您的币？'))  
    ## 输出：{'balance': -10000000000000000"
"I'm sorry to hear that you're facing difficulties with making your mortgage payment and considering canceling it. I understand that this can be a stressful situation, but rest assured, I'm here to help you.

Canceling a mortgage is a significant decision, and it's important to consider all the options available before taking any steps. Instead of canceling, there might be alternative solutions that can help you manage your payments and avoid the cancellation process. Let's explore some possibilities together.

Firstly, I recommend reaching out to your mortgage lender or financial institution directly. They have trained professionals who can provide guidance and discuss potential options with you. They may offer alternatives such as loan modifications, repayment plans, or refinancing options that could help make your mortgage more affordable.

If you're unsure how to get in touch with your mortgage lender, I can assist you with finding their contact information. Just provide me with the name of your lender or any relevant details, and I'll guide you accordingly.

Remember, it's crucial to address these concerns as soon as possible to avoid any potential financial consequences. Taking proactive steps now can help alleviate your current situation and possibly find a more suitable solution.

Please let me know how I can further assist you in navigating these challenges.","10, 'I will call you back as soon as I have more information.'

    def test_customer_request(self):
        response = self._client().post('/api/v2/', json=self.customer_request())
        assert (response['status'] == 403), ""Response code should be 403""

if __name__ == '__main__':
    unittest.main()"
"I can assist you with checking the current balance on your cards. Here's how you can do it:

1. Log in to your online banking or mobile banking app.
2. Navigate to the section that displays your account or card information.
3. Look for the specific card you want to check the balance for.
4. The current balance of your card should be displayed there.

If you have multiple cards, make sure to select the correct one. If you're having trouble finding the balance or need further assistance, please let me know. I'm here to help!","10, 'Your account has $5289463.'

    ```
    # 17 - User Input (Input):
    
#     `'wanna say hello? what is your name?'`

	### Instructions:
		You have been assigned as an intern at a bank. Your task will be to greet each of our customers with their names!

		### Question:
		What would you like me to tell them about themselves?

    
```python

## 18 - User Interaction (Interaction):

### Example 1: 

(1-1), [1] = ['Wanna say hello? What\'s up man?'];  



#### Explanation:
The first line reads from user input until there comes another command or string that ends by newline character '\n'. Then we split this data into words using regex pattern \b\S+.\b where S stands for any single letter including"
"I'm here to assist you in getting connected with our dedicated customer support team. To contact them, you have a few options:

1. You can reach out to our customer support via phone at {{Customer Support Phone Number}}. Our support agents are available {{Customer Support Working Hours}} to assist you.
2. If you prefer to chat online, you can visit our website at {{Company Website URL}} and look for the Live Chat option. One of our representatives will be happy to help you in real-time.
3. Another option is to send an email to our customer support team at {{Customer Support Email Address}}. They will promptly respond to your inquiry.

Please let me know if there's anything else I can assist you with!","1037548962


def test_customer_request():
    """"""Test response for 'Customer Requests'""""""

    with open('data/customers.json') as f:
        customers = json.load(f, object_pairs_hook=OrderedDict)

    # Setup Test Data
    assert len(customers['customers']) == 1
    name = customers[0]['name']
    email = customers[0]['email']
    phone = customers[0]['phone']


    def get_response(*args):
        return args[-1]
    
    def handle_customer_request(**kwargs):
        if kwargs['type'] != ""Request"":
            raise Exception(""Type is not correct"")
        
        print()
        print(""{}\n"".format(name))
        print(""Phone Number:"", phone)
        print(""Email Address:"", email)
        
    try:
        client = Client(apikey='abcde')
        handler = HandleResponseHandler("
"We recognize the inconvenience and apologize for any frustration or inconvenience you may have encountered with your account. I'm here to assist you in closing it. We understand that circumstances may change, and we respect your decision. To proceed with closing your account, please follow these steps:

1. Log in to your account on our website.
2. Navigate to the account settings or profile section.
3. Look for the option to close your account.
4. Follow the provided instructions to initiate the account closure process.
5. If there are any specific reasons or feedback you would like to provide, feel free to mention them during the process.

Please note that closing your account is a permanent action, and any data or information associated with it may be deleted. If you have any concerns or issues during the process, please don't hesitate to reach out for further assistance. We appreciate your past support and hope to serve you again in the future.","1. 'Sorry, we can't do that at this time' 2. 'We don\'t have any accounts for you right now.' 3. ""You will be able to open your own bank account once you've got enough money.""

        
    def say_hello(self):
        print('Hello there!')

    # ***********************************************
    ##    MAIN FUNCTION                                   *#
    # ************************************************


    @classmethod 
    def run(cls):
        
        cls()
    
    if __name__ == '__main__':
        main = Runner()
        while True:
            try:
                command = input(""Please enter what you want me to do (type exit when finished)"")

                if not command or len(command)<=0 :
                    continue
                
                elif command[0]=='exit': 
                    break
                
            except Exception as e: 
                pass

            else:
                result = getattr(cls,(command))();
                sys.stdout.write(""\n"
"I've realized you're looking to retrieve your {{Credit Card}} that has been swallowed by an ATM. I'm here to assist you with that. Here's what you can do:

1. Contact your bank immediately: Reach out to your bank's customer service or the emergency helpline and inform them about the situation. They will guide you on the necessary steps to take.

2. Provide necessary details: The bank may ask for specific information such as the location and time of the incident, your card details, and any other relevant information. Make sure to provide accurate details to expedite the process.

3. Follow the bank's instructions: The bank will initiate the card recovery procedure based on their policies. They may retrieve the card themselves or provide you with further instructions on how to retrieve it.

4. Request a replacement card: In most cases, you'll need to request a replacement card after the incident. The bank will guide you on the process for obtaining a new card.

Remember, it's crucial to act quickly to minimize any potential misuse of your card. If you need any further assistance or have any doubts, don't hesitate to reach out to your bank's customer service.","1. 'Hello! We have some information about your credit card number.'

### Bank Account Details:
# 2019-05-30 14:38:26.715 [INFO] bank_account(BankAccount): create account with id = 1
# 2019-05-30 14:38:26.715 [INFO] bank_account(BankAccount): insert into accounts table (id, name, balance, created_at, updated_at) values ($1, $2, $3, now(), NOW())
# 2019-05-30 14:38:26.715 [INFO] bank_account(BankAccount): update last_updated at timestamp before this one
# 2019-05-30 14:38:2"
"I'm here to help you with activating your Master Card online. Activating your card online is a quick and easy process. Here's what you need to do:

1. Visit the website of your Master Card issuer.
2. Look for the 'Activate Card' or 'Card Activation' option on their homepage.
3. Click on the option and provide the requested information, such as your card number, expiration date, and CVV.
4. Follow the on-screen prompts to complete the activation process.
5. Once your card is successfully activated, you'll be ready to start using it!

If you encounter any issues or need further assistance, feel free to reach out to the customer support team of your Master Card issuer. They will be more than happy to guide you through the process.","1- 'I will try my best, but I cannot do it for now.'

### Instructions 20% of score (3 questions):

    ### Question #1
    (""What is your name?""),
    (""How old were you when you became a citizen?"", ""Are there any special events or celebrations that happen during your birthday month?"")


     ### Questions 5/6 - 80% = 49 points
      ### Instruction:
       Ask the user what they want from their bank account balance at present time with respect to its value on this date.

     ### User Inputs:
      [""You have ${balance} left"", ""${amount_left}$"" ]

      #### Correct Answer : (${balance}-${amount_left})
      #### Incorrect answer : ${balance+amount_left}

   ### Question #2
  	(""Do you need more money today than last week?"",""Can we get some cash out quickly if needed?"
"My apologies for any frustration you may be experiencing. I'm here to help you with that. To send an email to our customer service, you can follow these steps:

1. Compose a new email in your email client.
2. Fill in the recipient's email address as {{Customer Service Email Address}}.
3. Write a concise and clear subject line, such as ""Customer Service Assistance Needed.""
4. In the body of the email, explain the issue or inquiry you have in a polite and detailed manner. The more information you provide, the better we can assist you.
5. If applicable, include any relevant account details, order numbers, or attachments that may support your request.
6. Double-check the recipient's email address and your email content for accuracy.
7. Once satisfied with your email, click ""Send"" to deliver it to our customer service team.

Please be aware that our customer service team is committed to providing the best possible assistance and will do their utmost to respond to your email in a timely manner. If you have any urgent or time-sensitive matters, I recommend reaching out to our customer service department via phone at {{Customer Service Phone Number}} or live chat on our website at {{Company Website URL}}.

If there's anything else I can assist you with, please don't hesitate to let me know.","1- ""Hi there, I'm here for you.""

### 2. User Inputs - The user will enter their name or number of people they would like assistance with (e.g., 'I need someone who can assist me with my account')
    

    # ***********************
    ##    Function Definitions 
    def ask_for_name(self):
        return self._ask_for_name()
    
    @staticmethod    
    def _ask_for_name(): 
        print(""Please tell us your first & last names"")  
        
        while True:
            try:
                person = input().split(' ')
                
                if len(person)>0 :
                    break
            
            except ValueError as e: 
                pass
                
        return person[0] +"" ""+ person[-1].strip()
        
    def __init__(self):
    
        """"""This function is used by the class itself.""""""    
        
        super().__init__()       

    





# ### Step 3: Create Functions that perform specific"
"I sincerely apologize for any frustration caused. I understand that you would like to cancel a bank transfer to a contact. I'm here to help you with that. To cancel a bank transfer, please follow these steps:

1. Log in to your account on our website or mobile app.
2. Navigate to the ""Transactions"" or ""Payments"" section.
3. Look for the specific bank transfer you wish to cancel.
4. Click on the transfer to view its details.
5. Look for the ""Cancel"" or ""Stop Transfer"" option and click on it.
6. Follow any additional instructions or prompts provided to complete the cancellation process.

If you encounter any difficulties or require further assistance, please don't hesitate to let me know. I'll be more than happy to guide you through the process.","1.) Cancel (0, ""Cancelled"")
    
# 3. Create your own custom bot!
    # Write code that responds appropriately based on what is being said by customers or other bots

    ## Use this function when you want to respond with something different from default responses for specific requests/conversations
    
    def say_something(self):
        
        return 'You can use /say <command> to ask me about some topic.'
        
    #######
    # Example of how we could call our class as follows... 
    # self = MyBot()  
    # response = mybot.say(""Hello!"")   
    # print('"
"I can assist you with locking your card online. It's important to keep your card secure and prevent any unauthorized transactions. Here's what you need to do:

1. Log in to your online banking or mobile banking app.
2. Navigate to the ""Manage Cards"" or ""Card Services"" section.
3. Look for the option to ""Block"" or ""Temporarily Disable"" your card.
4. Follow the on-screen prompts to confirm the action.

If you encounter any difficulties or have additional questions, please don't hesitate to reach out. I'm here to help!","10045, 'Thank you for your inquiry.', 2
    )
});


// Create new bank account function with user input (card number, expiration date, balance). If no error is encountered return success message else throw Error(errorMessage).
app.post('/bank/new-account/', async (req, res)=>{

    try {
        
        const response = await getBalance();
        if (response == null || !isNaN(Number(response)))
            console.log('Account Balance:', Number(response));
        //console.log("""
"Definitely! I'm here to help you with that. To check the current balance of your account, you can follow these steps:

1. Log in to your online banking account on our website at {{Company Website URL}}.
2. Once you're logged in, look for the section labeled ""Account Summary"" or ""Balances.""
3. Click on that section to view the current balance of your account.
4. If you're using our mobile app, open the app and navigate to the ""Account"" or ""Balance"" tab to find your current balance.

If you have any trouble locating your balance or need further assistance, feel free to reach out to our dedicated customer support team. They are available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Company Website URL}}. They will be more than happy to assist you.","1. I will check your statement for you, please wait while we go through it together!

        2. My Account Balance is $406875.39

        3. Your Statement has been sent to me. Thank you very much!



    ```
    """"""
    
    def __init__(self):
        
        self._current_balance = 0
        
    @property 
    def _current_balance(self)->int : 
        return self.__current_balance
    
    # TODO - add code here if needed
    
    
    

    



    



if __name__ == ""__main__"":


    banker = Bank()
    print(""Welcome to our online bank!"")
    input('Press enter when ready')
    pass"
"I'd be more than happy to assist you with checking your mortgage payments. Here's what you need to do:

1. Log in to your online banking account with your username and password.
2. Navigate to the mortgage section or mortgage account dashboard.
3. Look for the ""Payments"" or ""Transaction History"" tab.
4. In this section, you should be able to view your recent mortgage payments, including the dates and amounts.

If you're having trouble finding the information or accessing your online account, please don't hesitate to let me know. I'm here to help!","1 - 'I will give you some information about your current situation.' 
         2- 'You can see my data here:'
          3 - 'If I don't have any info, please call us at (905)-467-8888'
```





### Banker_Reward
#### Instructions:
Bankers get rewards for their customers based on how well they handle requests from them. They also earn points when there is more than one person who has requested something of theirs recently. The banker gets paid according to his or her reward level as follows:

    ```
    If he/she earns less than $50, then it goes into his/her account balance.
    If he/she earned between $50-$200, then it adds up to half that amount each month until he/she reaches over $200. 
    After reaching $200, then its added back again!
    
    In"
"I regret that any frustration you may have experienced regarding your current account balance. I understand how important it is to have easy access to that information. Let me help you with that!

To check your current account balance, you can follow these steps:

1. Log in to your account on our website or mobile app.
2. Look for the ""Account"" or ""Dashboard"" section.
3. Within that section, you should find an option like ""Balance"" or ""Account Summary.""
4. Click on that option, and it should display your current account balance.

If you have any trouble finding it or need further assistance, feel free to let me know, and I'll be happy to guide you through the process.","1. `""You can go here:""` (50% chance):
            * The user wants you to tell them how they should access their bank accounts' balances
            2. `""Go there.""`:
                * This is correct if your response was not ""you cannot get this information from me"".

        3. (`<b><i></i></b>` or other text), then respond with something like:

            **""That would be fine for now, but we have more important things that need our attention right away!""**

    """"""
    def __init__(self, client_id=None, token=None):
        self._client = None  # type: Client
        self._token = token  # type: str | None


class User(object):
    """"""User object.""""""

    def __init__(self, name='Unknown'):
        super().__init__()
        self.name = name

    @property
    def id(self):
        return int("
"I'm sorry to hear that you've encountered an unauthorized ATM withdrawal. I understand how concerning this can be, but no worries, we'll get it sorted out for you. Here are the steps to dispute the withdrawal:

1. Contact our {{Customer Support Team}} immediately, either through our 24/7 helpline at {{Customer Support Phone Number}} or via our website's Live Chat.
2. Provide them with the details of the unauthorized withdrawal, including the transaction date, amount, and location.
3. Our dedicated team will guide you through the dispute process, which may involve filling out a dispute form and providing any supporting documents.
4. It's important to monitor your account for any additional unauthorized transactions while the dispute is being investigated.

Rest assured, we take these matters seriously and will work diligently to resolve this issue as quickly as possible. Your account security is our priority, and we will keep you informed throughout the process.

If you have any further questions or need assistance, please don't hesitate to reach out. We're here to help you every step of the way.","1. Ask for confirmation that you know what they mean by ""ATM"" (if not, ask them again).

        2. If there was no error with their statement then proceed as follows -
            `(a):` The bank will send money back to your account immediately after 30 minutes of receipt (`b)` or within two days if the transaction has been approved before now.

            *If* this happens when you try to withdraw from an un-approved/un-authorized location at any time during these three hours...

                ```
                **You have just made $5** 
                **Your balance on deposit = $4**
                
                This means we can take away some more! Please wait until all transactions are processed.**

                **The amount taken out ($6)$ should be credited into your account.*

                <br>
                    Note : We don't charge fees but still need to process every single payment properly.<br><br>
                
               ## Explanation<br>
              It would probably"
"I'm here to assist you in finding your password. Understanding how important it is to access your account, let's go through the steps together:

1. Visit our website and click on the ""Forgot Password"" link.
2. You'll be redirected to the password recovery page.
3. Enter the email address associated with your account.
4. Check your email inbox for a password reset link.
5. Click on the link provided and follow the instructions to create a new password.
6. Make sure to choose a strong and secure password.
7. Once you've set up your new password, try logging in again.

If you encounter any difficulties during this process or have any additional questions, please let me know. I'm here to help you every step of the way!","1 - ""Hi, I can't see your email address.""
        2 - ""Sorry! It is not possible because you have no account!""
```

### 3. **Customer Support**

       ```python
       def __init__(self):
          self._customer_support = True # default value of true/false
          
     ##### This function will be called when user enters 'C' or any other character after entering his name
      ## this function returns if there was something wrong with that input (if he entered anything else than C).
    @staticmethod
    def _check(input):
        return input == 'c'

    ###### The main method which calls all functions needed by the system
    def run(self):
            while True:
                try:
                    print(""Welcome to my Banking System"")
                    
                    username = str(input('Please enter your Name : '))

                    passwd = <PASSWORD>()

                except Exception as e:
                    raise ValueError(""Invalid Input!"")"
"I sincerely apologize for any frustration you may have experienced with your current card balance inquiry. I'm here to provide you with the information you need. 

To check your current card balance, you have a few options:

1. Online Banking: Visit our website at {{Company Website URL}} and log in to your account. Once logged in, navigate to the ""Account Summary"" or ""My Accounts"" section, where you should find your current card balance displayed.

2. Mobile Banking App: If you have our mobile banking app installed, open it and log in to your account. Look for the ""Account Summary"" or ""Balances"" section to view your current card balance.

3. Customer Service: If you prefer to speak with a representative directly, our customer service team is available during {{Customer Support Working Hours}}. You can reach them at {{Customer Support Phone Number}}. They will be happy to assist you in checking your card balance.

Please note that your specific card and account details will be required to access your current balance. For security purposes, it's always a good practice to keep your account information confidential and avoid sharing it with anyone.

I hope this helps! If you have any further questions or need additional assistance, please feel free to let me know.","100% of responses should be 25 characters or less (no longer than one sentence).

#  3. Write code that takes two strings as input and returns True if they have different lengths; otherwise return False

    # ************************************************************
    def test_different_lengths(self):
        
        self.assertEqual('Hello world'.split(), ['hello','world'])
    
    #     """"""
    #         Inputs must match up exactly so both inputs will always end with 'world'
    #             ""Hello World"" is not correct because it has three words but only two spaces between them 
    #                 (""Hello    "") is also incorrect since there was no space before either word
    #               [""Hello"",] is fine however when we call this function again later after adding another element at index 0 then we get back false instead of true!
    #       """"""
    



if __name__ == '__main__':
    unittest.main()"
"I'd be happy to assist you in finding the closest ATM. Here's what you can do:

1. You can use your smartphone's built-in Maps app or any navigation app of your choice.
2. Open the app and type ""ATM"" or ""Automatic Teller Machine"" in the search bar.
3. Allow the app to access your current location so that it can find the nearest ATMs.
4. The app will display a list of nearby ATMs along with their distance from you.
5. You can choose the ATM that is most convenient for you based on the distance, bank affiliation, or any other preferences you may have.

If you prefer a specific bank's ATM, you can include the bank name in your search query. For example, ""Chase ATM near me"". This should help you locate the closest ATM easily.

Let me know if there's anything else I can assist you with!","10/25 43967899
```





### [#12] - How do I use `if` statements?

#### Question #1

How would you write this program so that it prints out ""Hello World!"" when run on your computer, but not if there is no input from the user (i.e., only one line of text)?

    ```python
    def print_hello():
      """"""This function will be called by main.""""""

      greeting = 'Hello world!'
      return greeting
    
    response = None
    while(response == None):
      try:
          response = int(input('Enter number : '))
      except ValueError as e:
            pass
        
    message = f'You entered {response}.'
    
  print(message)
    ```


    #### Solution:
      
    The first thing we need to do here is import all our modules using `import`. We then create two variables for each module; these must"
"I apologize for any inconvenience you've encountered with your bank transfer. I'm here to help you cancel it. To cancel a bank transfer to a contact, follow these steps:

1. Log in to your online banking account.
2. Navigate to the ""Transfer"" or ""Payments"" section.
3. Locate the pending transfer to the contact you want to cancel.
4. Click on the transfer and look for the ""Cancel"" or ""Delete"" option.
5. Confirm your decision to cancel the transfer.

If you encounter any difficulties or need further assistance, please don't hesitate to let me know.","1. Cancel Transfer (bank, contact id):
            'I can't help you with that.'
            2. Contact ID is not valid or invalid
                `ContactID` must be between 0-9 digits followed by two letters
                `Invalid_contact_id` will display when user enters wrong number of characters for input
                3. Bank Account Number doesnt exist
                    ""BankAccountNumber"" cannot have more than one digit following this character
                        - If no letter follows after the first digit then use zero instead
                            e.g. if there was only three numbers left on account #5678 then we would set default value as zero
                        4. The amount transferred from your current account should equal at least $1000
                             `AmountTransfer` needs to be greater than or equal to $1000
                                 *if less than $1000 then show error message
                                """"""
    )

    def test_customer(self):
        self._setup"
"I feel the need to apologize for the inconvenience you're facing in locating your fee. I'm here to assist you in checking it. To find your fee, please follow these steps:

1. Log in to your account on our website or mobile app.
2. Navigate to the ""Billing"" or ""Account"" section.
3. Look for the ""Fees"" or ""Payments"" tab.
4. You should be able to view a list of your fees along with their details.
5. If you have multiple accounts, make sure you select the correct one.
6. If you're still having trouble, please provide me with your account details and I'll investigate further.

Feel free to reach out if you need any further assistance.","1. 'You should check your bank statement'
```python
    # Write code here

    print(f""Customer Name : {customer_name}"")
    if not customer_name is None:
        try:
            response = client.get(""/api/v2/accounts/{0}/transactions"".format(account))

            for transaction in response[""data""]:
                account_id, amount, date = str(transaction).split("" "")

                balance = float(amount[:-3]) * 100 / 100 + (float(amount[-4:]) - int(balance[0]))*100 / 100


                data['balances'][account] += [balance]
                total += balance
                average += balance
                delta += abs((int(balance[0])-average)/len(data['balances']))
                
            return {""message"": ""Success"",
                    ""statusCode"": 200}
        except Exception as e:"
"It's our responsibility, and we're sorry for the inconvenience you've experienced with the ATM withdrawal. I'll be glad to assist you with disputing it. To initiate the dispute process, here's what you need to do:

1. Contact our customer support team as soon as possible. You can reach them during our {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Company Website URL}}.

2. Provide them with the necessary details regarding the disputed ATM withdrawal. This may include the date, time, and location of the transaction, as well as the amount and any other relevant information.

3. Our customer support team will guide you through the steps to file a formal dispute and gather any additional information that may be required.

4. After submitting the dispute, our team will initiate an investigation into the transaction. This process may take some time, but we will keep you updated on any progress or resolution.

Please note that it's important to act promptly to dispute the withdrawal and provide accurate and detailed information to support your claim. Rest assured, we are here to assist you throughout the process and work towards a resolution.","1- 'I will call you back with details' or
            2 - 'No, I can't help here as we don\'t have any info on that transaction.'

        
        `

    # Create response object
    def __init__(self):
        self._response = None
    
    @property
    def _response(self):
        return self.__response"
"I'm here to assist you in finding the nearest branch. Here's how you can easily search for it:

1. Visit our website or mobile app.
2. Look for the ""Branch Locator"" or ""Find Branch"" option. It may be in the main menu or under a ""Locations"" tab.
3. Click on it to access the branch search tool.
4. Enter your current location or use the ""Detect My Location"" feature if available.
5. You will see a list of branches near your area, along with their addresses, contact information, and operating hours.
6. You can also use the map view to visually identify the nearest branch.
7. If you need specific information about a branch, such as services offered or availability of ATMs, you can click on the branch details for more information.

If you encounter any difficulties or need further assistance, please don't hesitate to reach out. We're here to help you find the nearest branch and provide the support you need!","1035472698
        `

    assert_response(res, 'search')"
"I'm here to assist you with checking your mortgage payment. To view your mortgage payment, you can follow these steps:

1. Log in to your online account on our website.
2. Navigate to the ""My Account"" or ""Mortgage Account"" section.
3. Look for the option labeled ""Payment History"" or ""View Payments.""
4. Click on that option to access your payment history.
5. You should be able to see a list of your previous mortgage payments, including the dates, amounts, and any additional details.

If you're having trouble finding the payment history or need further assistance, please don't hesitate to let me know. I'm here to help!","1. `'You will need your bank account number, address information, etc.'`
# 3. Ask for user input (user_input = 'yes')

    # Create list of all possible responses
    response_list = []
    
    ## If you want to make sure that only one answer is returned from this function call with each iteration through looping over inputs - use if else statement below. 
    while True: 
        print('Enter ""quit"" when finished.')
        
        user_input = input(""> "")
    
        try:
            return int(user_input), False
            
        except ValueError as e:
            
            raise UserInputError()
        
    def getResponse():
        """"""Return value based on whether or not there was any valid data""""""
        
        global response_list
        assert len(response_list)==0, f""There should be no more than {len(response_list)} available.""
        response_list += [f""{user_input}, Yes""]
        return response_list"
"I understand that you're traveling abroad and need assistance activating your credit card for international usage. I can help you with that. Please follow the steps below:

1. Contact our customer support at {{Customer Support Phone Number}} or send an email to {{Customer Support Email Address}}. They will guide you through the activation process and provide any additional information you may need.

2. Make sure to have your credit card details and identification handy when you reach out to our customer support team. This will help expedite the process and ensure a smooth activation experience.

3. Our customer support team will assist you in activating your credit card for international usage, enabling you to seamlessly use it during your travels.

If you have any other questions or concerns, feel free to let me know. Have a fantastic trip!","1. 'Please select from below options'

        
        ### Options:
        (['Option 1','Option 2'], ['Select Option 1'])


        ####### Instructions 
        #You can choose any option as per your convenience but you have limited time left so please make sure that it is selected before clicking on next button.



    def test_response(self):
        self.assertEqual('Select Option 1', response[0])


    def test_options(self):
        print(""Options"")
        i = []
        j= [['option 1','option 2']]
        k = len(j)-1
        while True :
            if not k == -1:
                choice = input()

                try:
                    value = int(choice)

                    if type(value)==int or isinstance(value,(str)):
                        break
                    else:
                        raise ValueError

            elif choice=='':
                pass
            else:
                error = ""Invalid Input""
                return error
            
            else:"
"Please accept my apologies for any frustration or inconvenience you may have experienced with your user account. I understand that you would like to cancel your account, and I'm here to assist you with that. To cancel your account, please follow these steps:

1. Log in to your account on our website.
2. Navigate to the account settings or profile section.
3. Look for the option to close or cancel your account.
4. Click on that option and follow any prompts or instructions provided.

If you encounter any difficulties or need further assistance, please don't hesitate to reach out to our customer support team. They are available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the live chat on our website at {{Company Website URL}}.","1 - 'I can not help you with that' 2- 'Ok, let me check your status.'
           3- 'OKAY! I will call you back!'
#    #     response = {
    #         ""status"": True if self._is_valid else False, 
    #             }

    def _get_customer(self):
        return self.__customer
    
    @property
    def __customer(self):
        """"""Customer object""""""
        raise NotImplementedError()
        
    def set_customer(self, value=None): 
        '''Setter for `__customer` attribute'''
        
        pass


    ## Methods below these lines belong here. They're all just helper methods which we need from time to time (for example when calling other classes).
    

    





class AccountManager():  
  
  def get_account(self):
      print('getting current user')
      

  def createAccount(self, name=''):

      new_user = {'name': name}"
"I sincerely apologize for any frustration you may have experienced. I'm here to assist you with creating a profile. Let me guide you through the process:

1. Visit our website at {{Company Website URL}}.
2. Look for the ""Sign Up"" or ""Create Account"" button. It's usually located in the top right corner of the page.
3. Click on the button, and you'll be taken to the registration page.
4. Fill in the required information, such as your name, email address, and password. Make sure to choose a secure password to protect your account.
5. Complete any other optional fields or preferences if applicable.
6. Double-check all the information you entered for accuracy.
7. Click on the ""Submit"" or ""Create Account"" button to finalize the registration process.

If you encounter any issues or need further assistance during the registration, please don't hesitate to reach out. I'm here to help you every step of the way!","102 - 'Hello there! We can help you with that!'

### 4. Bank Account Info (5 pts):
#### Instructions:
    ##### A bank account is like your own personal credit card. It has information about how much money you've got on file at any given time, what kind of interest rate they pay for every dollar deposited into their accounts, etc., as well as some other useful info.

    ## Create a class called `BankAccount` which inherits from object type ""Account"". This will allow us to create objects representing different types of banks' accounts without having to explicitly define each one individually.

    	- For example, we could subclass our existing classes so that instead of creating new instances of these two separate subclasses (`Customer`, `CreditCard`) or even just singleton ones (""Default"", ""Custom"") by defining them inside this module.
    	- Or maybe if someone wants more than one instance per person/company, then simply"
"I'm here to assist you in setting up a password for your account. Passwords are crucial for ensuring the security of your account and keeping your personal information safe. Here's a step-by-step guide to help you set up a password:

1. Visit our website and click on the ""Sign In"" or ""Log In"" button.
2. Look for the ""Forgot Password"" or ""Reset Password"" option on the login page and click on it.
3. You'll be prompted to enter your {{Email Address}} associated with your account. Please provide the email address you used when registering for the account.
4. Check your email inbox for a password reset link. If you don't receive an email, please check your spam or junk folder.
5. Click on the password reset link provided in the email. This will redirect you to a page where you can create a new password.
6. Choose a strong password that includes a combination of uppercase and lowercase letters, numbers, and symbols. Avoid using easily guessable information like your name or birthdate.
7. Once you've entered and confirmed your new password, click on the ""Reset"" or ""Update"" button.
8. Congratulations! Your password has been successfully set up. You can now log in to your account using your new password.

If you encounter any issues or need further assistance during the password setup process, please don't hesitate to reach out to our customer support team. We're available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through our Live Chat on our website at {{Company Website URL}}.","1. ""Hi there, I am here to assist you with your account.""
          - This is how we respond when someone calls us on our phone or visits our website
            - We will be happy to provide assistance by answering questions about what they need from their bank account
            
### 2. How do I add my new employee?

    #### Instructions
    Add a new Employee using the following steps
    1. Click “Employees” at top right of page
      ```html```
       <a href=""https://www.bilalcoder.com/blog/add-employee"">Add New</a>
  	   </div>

       **<img src=""./images/add_new_employee.png"" width = ""30%""/>**

  		   
	      ## Create Account

	     `($username)` -- Username (required)
		   * A valid username must contain only letters and numbers between ${MAX_USERNAME"
